time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-09T14:44:32.935Z,-27.7551,-71.3319,55.32,4.4,mb,,155,0.502,0.59,us,us7000e1kz,2021-05-09T17:52:16.201Z,"106 km NNW of Vallenar, Chile",earthquake,6.2,9.1,0.311,3,reviewed,us,us
2021-05-09T16:05:01.634Z,47.4669,151.4748,149.08,4.4,mb,,117,5.959,0.38,us,us7000e1ld,2021-05-09T17:08:53.040Z,Kuril Islands,earthquake,6,6.6,0.042,159,reviewed,us,us
2021-05-04T17:52:56.565Z,-22.846,-68.7686,113.98,4.3,mb,,48,0.554,0.72,us,us7000e03p,2021-05-04T19:24:23.040Z,"45 km SSE of Calama, Chile",earthquake,5.4,5.4,0.161,13,reviewed,us,us
2021-05-04T22:28:10.070Z,42.3941,144.5741,35,4.3,mb,,133,1.118,0.67,us,us7000e06e,2021-05-04T23:33:09.040Z,"66 km SSE of Kushiro, Japan",earthquake,4.6,2,0.102,27,reviewed,us,us
2021-05-06T15:15:14.057Z,42.2786,142.4265,81.47,4.3,mb,,73,0.603,0.86,us,us7000e0nu,2021-05-06T20:40:31.040Z,"7 km SE of Shizunai-furukawachō, Japan",earthquake,6.2,7.7,0.078,51,reviewed,us,us
2021-05-06T23:44:23.754Z,3.043,-84.2656,10,4.3,mb,,83,5.415,0.9,us,us7000e0uz,2021-05-07T00:11:33.040Z,off the coast of Central America,earthquake,8.3,1.9,0.086,38,reviewed,us,us
2021-05-07T09:25:24.795Z,-8.3187,120.7162,184.2,4.3,mb,,133,1.537,0.16,us,us7000e0yv,2021-05-07T10:01:48.040Z,"42 km NE of Ruteng, Indonesia",earthquake,12.1,9.3,0.16,11,reviewed,us,us
2021-05-07T13:17:10.717Z,-10.786,121.9123,10,4.3,mb,,75,2.16,0.47,us,us7000e11i,2021-05-09T21:14:17.040Z,"197 km WSW of Kupang, Indonesia",earthquake,5.1,1.9,0.13,17,reviewed,us,us
2021-05-08T11:41:45.246Z,36.2784,27.1579,10,4.3,mb,,74,0.729,0.57,us,us7000e1bg,2021-05-08T13:43:05.991Z,"Dodecanese Islands, Greece",earthquake,4.9,1.7,0.148,13,reviewed,us,us
2021-05-03T05:26:47.554Z,21.687,142.9946,291.03,4.2,mb,,44,5.435,0.83,us,us7000dzme,2021-05-03T06:58:29.040Z,Mariana Islands region,earthquake,7.7,6.7,0.067,64,reviewed,us,us
2021-05-03T21:57:14.939Z,38.261,75.6386,125.94,4.2,mb,,103,3.231,0.9,us,us7000dzus,2021-05-03T22:46:02.040Z,"137 km SSW of Kashgar, China",earthquake,8.2,7.5,0.11,23,reviewed,us,us
2021-05-04T19:20:46.393Z,-6.6149,130.326,91.54,4.2,mb,,97,1.666,0.82,us,us7000e04d,2021-05-04T20:50:38.040Z,"289 km WSW of Tual, Indonesia",earthquake,6.8,7.7,0.096,37,reviewed,us,us
2021-05-06T00:19:44.861Z,54.2976,-161.3428,29.99,4.2,mwr,,167,1.092,0.96,us,us7000e0ht,2021-05-06T15:11:02.749Z,"105 km SE of King Cove, Alaska",earthquake,6.8,5.6,0.053,34,reviewed,us,us
2021-05-06T23:50:28.601Z,-23.9709,-67.0885,230.57,4.2,mb,,104,1.425,0.92,us,us7000e0v0,2021-05-07T00:37:10.085Z,"82 km WNW of San Antonio de los Cobres, Argentina",earthquake,9.5,7.9,0.215,6,reviewed,us,us
2021-05-07T21:46:29.910Z,-5.0388,-80.6174,52.94,4.2,mb,,114,4.775,0.72,us,us7000e16g,2021-05-09T00:11:09.040Z,"16 km SSE of Sullana, Peru",earthquake,10.5,8.6,0.176,9,reviewed,us,us
