time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-05-08T21:03:01.810Z,31.67969884,-104.415137,7.10847168,3.1,ml,31,54,0.073842733,0.3,tx,tx2021izqo,2021-05-08T21:48:10.194Z,"55 km S of Whites City, New Mexico",earthquake,0.909325763,1.230773857,0.1,18,reviewed,tx,tx
2021-04-22T07:00:10.340Z,37.5453333,-118.78,8.23,3.09,ml,36,55,0.03245,0.04,nc,nc73552920,2021-05-08T07:38:07.040Z,"9km WSW of Toms Place, CA",earthquake,0.28,0.53,0.211,24,reviewed,nc,nc
2021-04-15T18:05:03.520Z,35.6786667,-117.5368333,6.81,3.06,ml,59,37,0.106,0.12,ci,ci39851144,2021-05-06T21:12:03.040Z,"14km ENE of Ridgecrest, CA",earthquake,0.1,0.32,0.157,231,reviewed,ci,ci
2021-05-06T21:39:07.050Z,32.9128333,-118.6066667,5.86,3.04,ml,36,245,0.477,0.24,ci,ci39643455,2021-05-08T20:59:25.040Z,"13km S of San Clemente Is. (NW tip), CA",earthquake,0.58,31.61,0.124,118,reviewed,ci,ci
2021-04-15T07:26:31.059Z,36.96183333,-98.09133333,9.02,3.02,ml,76,96,0,0.13,ok,ok2021hipb,2021-04-25T12:08:12.040Z,"5 km SW of Manchester, Oklahoma",earthquake,,2.3,0.2,39,reviewed,ok,ok
2021-04-23T06:51:07.920Z,35.0608333,-116.6198333,1.97,3.01,ml,27,49,0.005958,0.13,ci,ci39625767,2021-04-23T16:21:16.550Z,"23km SSE of Fort Irwin, CA",earthquake,0.15,0.21,0.128,161,reviewed,ci,ci
2021-05-05T11:24:38.930Z,31.453,-115.722,19.41,3.01,ml,8,120,0.08112,0.16,ci,ci39641175,2021-05-05T14:45:47.193Z,"85km ESE of Maneadero, B.C., MX",earthquake,0.73,0.83,0.176,56,reviewed,ci,ci
2021-04-10T03:57:58.440Z,34.1475,-116.4451667,5.88,3,ml,98,31,0.059,0.15,ci,ci39845512,2021-05-06T21:54:45.040Z,"4km NNW of Yucca Valley, CA",earthquake,0.09,0.4,0.144,201,reviewed,ci,ci
2021-04-13T15:32:26.347Z,44.4511,-115.2229,10,3,ml,,57,0.302,0.7,us,us6000e19q,2021-04-13T16:38:24.040Z,"34 km NW of Stanley, Idaho",earthquake,2,2,0.04,84,reviewed,us,us
2021-04-14T01:02:05.929Z,31.59224671,-104.2441051,6.671435547,3,ml,22,58,0.172080967,0.2,tx,tx2021hggw,2021-04-24T05:03:19.040Z,"52 km NW of Toyah, Texas",earthquake,1.101250334,1.948643914,0.1,12,reviewed,tx,tx
2021-04-17T01:01:37.621Z,31.65906653,-104.2951894,7.391259766,3,ml,37,58,0.115351808,0.3,tx,tx2021hltj,2021-04-19T21:10:00.952Z,"57 km S of Whites City, New Mexico",earthquake,0.910671828,1.443271908,0.1,18,reviewed,tx,tx
2021-04-21T07:58:12.837Z,31.71967735,-104.5746591,5.951611328,3,ml,33,81,0.061198827,0.3,tx,tx2021htpc,2021-04-21T16:45:00.974Z,"53 km SSW of Whites City, New Mexico",earthquake,2.683765283,0.978924456,0.2,18,reviewed,tx,tx
